EventDate,EventType,EventComment,County,TenantCity,TenantState,TenantZipCode,CaseType,CaseNumber,EvictedDate,SourceDate,Year,EvictionYear
2/10/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore,Baltimore,MD,21220,Failure to Pay Rent,74840,9/29/21,2/23/23,2023,2021
2/10/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore,Middle River,MD,21220,Failure to Pay Rent,74841,9/29/21,2/23/23,2023,2021
1/31/23,Warrant of Restitution - Return of Service - Evicted,,Prince George's,Laurel,MD,20708,Failure to Pay Rent,15674,1/4/22,1/23/23,2023,2022
1/31/23,Warrant of Restitution - Return of Service - Evicted,,Prince George's,Laurel,MD,20708,Breach of Lease,84154,1/5/22,1/23/23,2023,2022
1/31/23,Warrant of Restitution - Return of Service - Evicted,,Prince George's,Temple Hills,MD,20748,Failure to Pay Rent,15902,1/6/22,1/23/23,2023,2022
1/31/23,Warrant of Restitution - Return of Service - Evicted,,Prince George's,Greenbelt,MD,20770,Failure to Pay Rent,16207,1/10/22,1/23/23,2023,2022
1/31/23,Warrant of Restitution - Return of Service - Evicted,,Prince George's,Laurel,MD,20708,Failure to Pay Rent,15935,1/11/22,1/23/23,2023,2022
1/31/23,Warrant of Restitution - Return of Service - Evicted,,Prince George's,Laurel,MD,20708,Failure to Pay Rent,15866,1/11/22,1/23/23,2023,2022
10/31/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21202,Failure to Pay Rent,32735,1/12/22,1/23/23,2022,2022
10/31/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21202,Failure to Pay Rent,32734,1/12/22,1/23/23,2022,2022
10/31/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21202,Failure to Pay Rent,32736,1/12/22,1/23/23,2022,2022
10/31/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21213,Failure to Pay Rent,32743,1/12/22,1/23/23,2022,2022
11/17/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21217,Failure to Pay Rent,32716,1/12/22,1/23/23,2022,2022
11/17/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21217,Failure to Pay Rent,32715,1/12/22,1/23/23,2022,2022
11/22/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21201,Failure to Pay Rent,32899,1/12/22,1/23/23,2022,2022
11/29/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21217,Failure to Pay Rent,32816,1/12/22,1/23/23,2022,2022
9/23/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21239,Failure to Pay Rent,32626,1/13/22,1/23/23,2022,2022
9/23/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21239,Failure to Pay Rent,32625,1/13/22,1/23/23,2022,2022
9/23/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21239,Failure to Pay Rent,32627,1/13/22,1/23/23,2022,2022
9/23/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21239,Failure to Pay Rent,32628,1/13/22,1/23/23,2022,2022
9/23/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21239,Failure to Pay Rent,32629,1/13/22,1/23/23,2022,2022
10/3/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21213,Failure to Pay Rent,32718,1/13/22,1/23/23,2022,2022
10/4/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21214,Failure to Pay Rent,32837,1/13/22,1/23/23,2022,2022
10/5/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21214,Failure to Pay Rent,32639,1/13/22,1/23/23,2022,2022
10/5/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21214,Failure to Pay Rent,32638,1/13/22,1/23/23,2022,2022
10/5/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21214,Failure to Pay Rent,32637,1/13/22,1/23/23,2022,2022
10/5/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21214,Failure to Pay Rent,32636,1/13/22,1/23/23,2022,2022
10/5/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21214,Failure to Pay Rent,32635,1/13/22,1/23/23,2022,2022
10/5/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21214,Failure to Pay Rent,32634,1/13/22,1/23/23,2022,2022
10/5/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21214,Failure to Pay Rent,32632,1/13/22,1/23/23,2022,2022
10/5/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21214,Failure to Pay Rent,32633,1/13/22,1/23/23,2022,2022
10/14/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21216,Failure to Pay Rent,32831,1/13/22,1/23/23,2022,2022
10/26/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21215,Failure to Pay Rent,32797,1/13/22,1/23/23,2022,2022
10/26/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21223,Failure to Pay Rent,32671,1/13/22,1/23/23,2022,2022
10/26/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21223,Failure to Pay Rent,32673,1/13/22,1/23/23,2022,2022
10/28/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21215,Failure to Pay Rent,32832,1/13/22,1/23/23,2022,2022
10/28/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21205,Failure to Pay Rent,32723,1/13/22,1/23/23,2022,2022
10/28/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21216,Failure to Pay Rent,32617,1/13/22,1/23/23,2022,2022
10/28/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21216,Failure to Pay Rent,32691,1/13/22,1/23/23,2022,2022
10/31/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21218,Failure to Pay Rent,32680,1/13/22,1/23/23,2022,2022
10/31/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21207,Failure to Pay Rent,32731,1/13/22,1/23/23,2022,2022
11/10/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21206,Failure to Pay Rent,32897,1/13/22,1/23/23,2022,2022
11/21/22,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21213,Failure to Pay Rent,32706,1/13/22,1/23/23,2022,2022
1/31/23,Warrant of Restitution - Return of Service - Evicted,,Prince George's,Oxon Hill,MD,20745,Failure to Pay Rent,16590,1/13/22,1/23/23,2023,2022
3/24/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore,Halethorpe,MD,21227,Failure to Pay Rent,70885,1/13/22,3/23/23,2023,2022
1/9/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore,Essex,MD,21206,Failure to Pay Rent,74842,1/14/22,1/23/23,2023,2022
1/31/23,Warrant of Restitution - Return of Service - Evicted,,Prince George's,Oxon Hill,MD,20745,Tenant Holding Over,15317,1/18/22,1/23/23,2023,2022
1/31/23,Warrant of Restitution - Return of Service - Evicted,,Prince George's,Oxon Hill,MD,20745,Failure to Pay Rent,16224,1/18/22,1/23/23,2023,2022
1/31/23,Warrant of Restitution - Return of Service - Evicted,,Prince George's,Oxon Hill,MD,20745,Failure to Pay Rent,16580,1/27/22,1/23/23,2023,2022
3/24/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore,Baltimore,MD,21229,Failure to Pay Rent,70886,2/14/22,3/23/23,2023,2022
3/31/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21216,Failure to Pay Rent,16701,3/7/22,3/23/23,2023,2022
3/31/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21223,Tenant Holding Over,1236,3/14/22,3/23/23,2023,2022
5/19/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore,Baltimore,MD,21220,Failure to Pay Rent,74843,4/5/22,5/23/23,2023,2022
1/30/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore,Baltimore,MD,21222,Failure to Pay Rent,74845,5/27/22,1/23/23,2023,2022
1/30/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore,Baltimore,MD,21222,Failure to Pay Rent,74846,5/27/22,1/23/23,2023,2022
1/30/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore,Dundalk,MD,21222,Failure to Pay Rent,74847,5/27/22,1/23/23,2023,2022
1/30/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore,Dundalk,MD,21222,Failure to Pay Rent,74848,5/27/22,1/23/23,2023,2022
1/30/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore,Baltimore,MD,21222,Failure to Pay Rent,74854,6/1/22,1/23/23,2023,2022
1/30/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore,Baltimore,MD,21222,Failure to Pay Rent,74855,6/1/22,1/23/23,2023,2022
1/30/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore,Baltimore,MD,21222,Failure to Pay Rent,74856,6/1/22,1/23/23,2023,2022
6/2/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore,Baltimore,MD,21220,Failure to Pay Rent,74852,6/15/22,6/23/23,2023,2022
6/15/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore,Essex,MD,21221,Failure to Pay Rent,74850,6/15/22,6/23/23,2023,2022
7/21/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore City,Baltimore,MD,21202,Wrongful Detainer,73,6/22/22,7/23/23,2023,2022
5/9/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore,Baltimore,MD,21220,Failure to Pay Rent,74853,6/28/22,5/23/23,2023,2022
5/9/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore,Middle River,MD,21220,Failure to Pay Rent,74858,6/28/22,5/23/23,2023,2022
5/9/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore,Baltimore,MD,21220,Failure to Pay Rent,74859,6/28/22,5/23/23,2023,2022
2/9/23,Warrant of Restitution - Return of Service - Evicted,,Baltimore,Middle River,MD,21220,Failure to Pay Rent,74867,6/30/22,2/23/23,2023,2022
